input_lang,output_lang
Which river does the Brooklyn Bridge cross?,Welchen Fluss überspannt die Brooklyn Bridge?
Give me the websites of companies with more than 500000 employees.,Gib mir alle Webseiten von Unternehmen mit mehr als 500000 Angestellten.
What is the official website of Tom Cruise?,Was ist die offizielle Website von Tom Cruise?
Give me all movies with Tom Cruise.,Gib mir alle Filme mit Tom Cruise.
Who created Wikipedia?,Wer hat Wikipedia gegründet?
How many films did Hal Roach produce?,Wieviele Filme hat Hal Roach produziert?
In which country does the Nile start?,In welchem Land entspringt der Nil?
Which states of Germany are governed by the Social Democratic Party?,Welche Bundesländer in Deutschland werden von der SPD regiert?
How tall is Claudia Schiffer?,Wie groß ist Claudia Schiffer?
Which television shows were created by Walt Disney?,Welche Fernsehserien hat Walt Disney entworfen?
What is the highest place of Karakoram?,Was ist die höhchste Stelle des Karakorum?
Give me all cities in New Jersey with more than 100000 inhabitants.,"Gib mir alle Städte in New Jersey, die mehr als 100000 Einwohner haben."
Which actors were born in Germany?,Welche Schauspieler wurden in Deutschland geboren?
Give me all people with first name Jimmy.,"Gib mir alle Personen, die den Vornamen Jimmy haben."
Which mountain is the highest after the Annapurna?,Was ist der höchste Berg nach dem Annapurna?
How often was Michael Jordan divorced?,Wie oft hat sich Michael Jordan scheiden lassen?
Who designed the Brooklyn Bridge?,Wer hat die Brooklyn Bridge entworfen?
Which classis do tree frogs belong to?,Welcher Klasse gehören Laubfrösche an?
Was Natalie Portman born in the United States?,Wurde Natalie Portman in den Vereinigten Staaten geboren?
Which countries have more than two official languages?,Welche Länder haben mehr als zwei Amtssprachen?
When did Latvia join the EU?,Wann ist Lettland der EU beigetreten?
Who created Goofy?,Wer hat Goofy erfunden?
Give me all soccer clubs in Spain.,Gib mir alle Fußballvereine in Spanien.
Who is the mayor of New York City?,Wer ist der Bürgermeister von New York City?
Which organizations were founded in 1950?,Welche Unternehmen wurden 1950 gegründet?
Which presidents were born in 1945?,Welche Präsidenten wurden 1945 geboren?
Through which countries does the Yenisei river flow?,Durch welche Länder fließt der Yenisei?
Which museum exhibits The Scream by Munch?,In welchem Museum ist Der Schrei von Munch ausgestellt?
Which budget did the first movie of Zdenek Sverak have?,Welches Budget hatte der erste Film von Zdenek Sverak?
Give me the capitals of all countries in Africa.,Gib mir die Haupstädte von allen Ländern in Afrika.
Which states border Illinois?,Welche Staaten grenzen an Illinois?
Which countries have places with more than two caves?,In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?
Which European countries have a constitutional monarchy?,Welche europäischen Länder haben eine konstitutionelle Monarchie?
What is the highest mountain in Australia?,Was ist der höchste Berg in Australien?
Which capitals in Europe were host cities of the summer olympic games?,In welchen europäischen Hauptstädten fanden olympische Sommerspiele statt?
Who was the wife of U.S. president Lincoln?,Wer war die Frau von US-Präsident Lincoln?
"Which airports are located in California, USA?",Welche Flughäfen gibt es in Kalifornien?
Is Christian Bale starring in Batman Begins?,Spielt Christian Bale in Batman Begins mit?
In which programming language is GIMP written?,In welcher Programmiersprache wurde GIMP geschrieben?
In which country is the Limerick Lake?,In welchem Land befindet sich der Limerick Lake?
Which monarchs of the United Kingdom were married to a German?,Welche Monarchen des Vereinigten Königreichs waren mit jemand deutschem verheiratet?
Give me all female German chancellors.,Gib mir alle deutschen Kanzlerinnen.
Give me all video games published by Mean Hamster Software.,Gib mir alle Videospiele von Mean Hamster Software.
Who produced films starring Natalie Portman?,"Wer produzierte Filme, in denen Natalie Portman mitspielt?"
In which films did Julia Roberts as well as Richard Gere play?,In welchen Filmen spielen sowohl Julia Roberts als auch Richard Gere mit?
How many films did Leonardo DiCaprio star in?,In wievielen Filmen hat Leonardo DiCaprio mitgespielt?
Give me all school types.,Gib mir alle Schultypen.
Give me the birthdays of all actors of the television show Charmed.,Gib mir die Geburtstage von allen Darstellern der Fernsehserie Charmed.
In which city did John F. Kennedy die?,In welcher Stadt ist John F. Kennedy gestorben?
