input_lang,output_lang
Which river does the Brooklyn Bridge cross?,Quale fiume attraversa il ponte di Brooklyn?
Give me the websites of companies with more than 500000 employees.,Dammi tutti i siti internet di aziende con più di 500000 dipendenti.
What is the official website of Tom Cruise?,Qual è il sito internet ufficiale di Tom Cruise?
Give me all movies with Tom Cruise.,Dammi tutti i film con Tom Cruise.
Who created Wikipedia?,Chi ha creato Wikipedia?
How many films did Hal Roach produce?,Quanti film ha prodotto Hal Roach?
In which country does the Nile start?,In quale stato nasce il Nilo?
Which states of Germany are governed by the Social Democratic Party?,In quali stati federati della Germania governa il Partito Socialista Democratico?
How tall is Claudia Schiffer?,Quanto è alta Claudia Schiffer?
Which television shows were created by Walt Disney?,Quali serie televisive sono state create dalla Walt Disney?
What is the highest place of Karakoram?,Qual è il punto più alto del Karakoram?
Give me all cities in New Jersey with more than 100000 inhabitants.,Dammi tutte le città del New Jersey con più di 100000 abitanti.
Which actors were born in Germany?,Quali attori sono nati in Germania?
Give me all people with first name Jimmy.,Dammi tutte le persone il cui nome è Jimmy.
Which mountain is the highest after the Annapurna?,Qual è la montagna più alta dopo l'Annapurna?
How often was Michael Jordan divorced?,Quante volte ha divorziato Michael Jordan?
Who designed the Brooklyn Bridge?,Chi ha progettato il ponte di Brooklyn?
Which classis do tree frogs belong to?,A quale specie appartiene la rana verde?
Was Natalie Portman born in the United States?,"Natalie Portman, nata, Stati Uniti d'America"
Which countries have more than two official languages?,Quali stati hanno più di due lingue ufficiali?
When did Latvia join the EU?,Quando la Lettonia è entrata nell'Unione Europea?
Who created Goofy?,Chi è il creatore di Goofy?
Give me all soccer clubs in Spain.,Dammi tutti i club calcistici della Spagna
Who is the mayor of New York City?,Chi è il sindaco della città di New York?
Which organizations were founded in 1950?,Quali aziende sono state fondate nel 1950?
Which presidents were born in 1945?,Quali presidenti sono nati nel 1945?
Through which countries does the Yenisei river flow?,Attraverso quali stati scorre il fiume Yenisei?
Which museum exhibits The Scream by Munch?,Quale museo è esposto l'Urlo di Munch?
Which budget did the first movie of Zdenek Sverak have?,Che budget ebbe il primo film di Zdenek Sverak?
Give me the capitals of all countries in Africa.,Dammi le capitali di tutti gli stati dell'Africa.
Which states border Illinois?,Con quali stati confina l'Illinois?
Which countries have places with more than two caves?,Quali nazioni hanno luoghi con più di due grotte?
Which European countries have a constitutional monarchy?,Quali nazioni europee hanno una monarchia costituzionale?
What is the highest mountain in Australia?,Qual è la montagna più alta d'Australia?
Which capitals in Europe were host cities of the summer olympic games?,Quali capitali europee hanno ospitato i giochi olimpici estivi?
Who was the wife of U.S. president Lincoln?,Chi era la moglie del presidente degli Stati Uniti Lincoln?
"Which airports are located in California, USA?","Quali aeroporti sono situati in California, Stati Uniti?"
Is Christian Bale starring in Batman Begins?,Christian Bale ha recitato in Batman Begins?
In which programming language is GIMP written?,In quale linguaggio di programmazione è scritto GIMP?
In which country is the Limerick Lake?,In quale stato si trova il lago Limerick?
Which monarchs of the United Kingdom were married to a German?,Quali monarchi del Regno Unito erano sposati a persone tedesche?
Give me all female German chancellors.,Dammi tutte le cancelliere tedesche.
Give me all video games published by Mean Hamster Software.,Dammi tutti i videogiochi di Mean Hamster Software.
Who produced films starring Natalie Portman?,Chi ha prodotto i film in cui recita Natalie Portman?
In which films did Julia Roberts as well as Richard Gere play?,In quali film recitano sia Julia Roberts che Richard Gere?
How many films did Leonardo DiCaprio star in?,In quanti film ha recitato Leonardo DiCaprio?
Give me all school types.,Dammi tutti i tipi di scuola.
Give me the birthdays of all actors of the television show Charmed.,Dammi le date dei compleanni di tutti gli attori della serie televisiva Charmed.
In which city did John F. Kennedy die?,In quale città morì John F. Kennedy?
How many monarchical countries are there in Europe?,Quante monarchie ci sono in Europa?
Give me all presidents of the United States.,Dammi tutti i presidenti degli Stati Uniti.
Who produced the most films?,Chi ha prodotto più film?
Which languages are spoken in Estonia?,Quali lingue sono parlate in Estonia?
Is there a video game called Battle Chess?,Esiste un videogioco che si chiama Battle Chess?
Which mountains are higher than the Nanga Parbat?,Quali montagne sono più alte del Nanga Parbat?
When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,Quando verrà proiettato il film Worst Case Scenario al cinema nei Paesi Bassi?
Is Jens Friebe a vegan?,Jens Friebe è vegano?
Which telecommunications organizations are located in Belgium?,Quali aziende di telecomunicazioni hanno sede in Belgio?
Which companies work in the aerospace industry as well as on nuclear reactor technology?,Quali aziende lavorano sia nell'industria aerospaziale che sulle tecnologie dei reattori nucleari?
Which state of the USA has the highest population density?,Quale stato appartenente agli Stati Uniti d'America ha la densità di popolazione maggiore?
Is the wife of president Obama called Michelle?,La moglie del presidente Obama si chiama Michelle?
What is the highest mountain?,Qual è la montagna più alta?
Give me all Canadian Grunge record labels.,Dammi tutti i produttori canadesi di musica Grunge.
What is the currency of the Czech Republic?,Qual è la valuta della Repubblica Ceca?
Give me all books written by Danielle Steel.,Dammi tutti i libri scritti da Danielle Steel.
In which films directed by Garry Marshall was Julia Roberts starring?,In quale film diretto da Garry Marshall recita Julia Roberts?
Who developed the video game World of Warcraft?,Chi ha creato il videogioco World of Warcraft?
Who owns Aldi?,Chi possiede Aldi?
How many employees does IBM have?,Quanti dipendenti ha IBM?
What is the area code of Berlin?,Qual è il prefisso di Berlino?
When was the Battle of Gettysburg?,Quando ha avuto luogo la battaglia di Gettysburg?
What are the official languages of the Philippines?,Quali sono le lingue ufficiali delle Filippine?
Is Frank Herbert still alive?,Frank Herbert è ancora vivo?
How many big fires struck Paris during the Middle Ages?,Quanti grandi incendi sono scoppiati a Parigi nel Medioevo?
Who wrote the book Les Piliers de la terre?,Chi ha scritto il libro I pilastri della Terra?
Give me the homepage of Forbes.,Dammi il sito internet di Forbes.
Is proinsulin a protein?,a proinsulina è una proteina?
Which awards did WikiLeaks win?,Quali premi ha vinto WikiLeaks?
List all episodes of the first season of the HBO television series The Sopranos!,Elenca tutti gli episodi della prima stagione della serie televisiva di HBO i Sopranos!
Which country has the most official languages?,Quale stato ha più lingue ufficiali?
