input_lang,output_lang
List all boardgames by GMT.,Список все настольные игры от ВРЕМЯ ПО ГРИНВИЧУ. 
Who developed Skype?,Кто развитая Skype? 
Which people were born in Heraklion?,Который люди мы Родился в Ираклион? 
In which U.S. state is Area 51 located?,В который У.С. государство является Площадь 51 располагается? 
Who is the mayor of New York City?,Кто является  мэр из новый Йорк Город? 
Which countries have places with more than two caves?,Который страны иметь мест с Больше чем два пещеры? 
Where did Abraham Lincoln die?,где сделал Авраам Линкольн ? 
Which airports does Air China serve?,Который аэропорты делает Воздух Китай обслуживать? 
Give me all actors starring in movies directed by and starring William Shatner.,Дайте меня все актеры в главной роли в кино направленный от а также в главной роли Уильям Шатнер. 
What are the official languages of the Philippines?,Какие находятся  официальный языки из  Филиппины? 
Give me all Danish films.,Дайте меня все датский фильмы. 
Which movies starring Brad Pitt were directed by Guy Ritchie?,Который кино в главной роли штифтик Питт мы направленный от парень Ritchie? 
Give me the grandchildren of Bruce Lee.,Дайте меня  внучата из Брюс Lee. 
Which other weapons did the designer of the Uzi develop?,Который Другие оружие сделал  дизайнер из  Узи развиваться? 
Who is the owner of Universal Studios?,Кто является  владелец из универсальный Studios? 
Which state of the USA has the highest population density?,Который государство из  США имеет  наибольший Население плотность? 
Which monarchs were married to a German?,Который монархи мы в браке в  Немецкий? 
Which organizations were founded in 1950?,Который организации мы основанный в 1950? 
Who created the comic Captain America?,Кто созданный  комический капитан Америка? 
Give me the Apollo 14 astronauts.,Дайте меня  Аполлон 14 астронавты. 
Who wrote the book The pillars of the Earth?,Кто писал  книга  столбы из  Земля? 
Which state of the United States of America has the highest density?,Который государство из  объединенный состояния из Америка имеет  наибольший плотность? 
Which spaceflights were launched from Baikonur?,Который космические полеты мы запущенный из Байконуре? 
Give me a list of all trumpet players that were bandleaders.,Дайте меня  список из все труба игроки что мы бэнд-лидер. 
Which U.S. states are in the same timezone as Utah?,Который У.С. состояния находятся в  одна и та же часовой пояс в виде Юта? 
Which U.S. states possess gold minerals?,Который У.С. состояния обладать золото минералы? 
Who is the daughter of Ingrid Bergman married to?,Кто является  дочь из Ingrid Bergman в браке к? 
How deep is Lake Placid?,Как глубоко является Озеро Плэсиде? 
